CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"10,500.00","1,950",0.65,0.90,"2,200",-1.05,0.65,134.39,994,-159,951,
,270,-,2,145.42,"6,875.00",295.00,150,"6,757.55","6,969.50",300,"11,000.00",350,0.80,0.90,200,-0.75,0.95,127.38,"2,508",174,909,
,5,-,-,-,"5,113.35",-,50,"6,323.95","6,371.25",300,"11,500.00",250,0.75,0.95,"2,700",-1.05,0.75,114.11,75,4,47,
,52,-,-,-,"5,310.00",-,100,"5,820.00","5,864.35",100,"12,000.00","2,400",0.80,0.95,"1,200",-0.80,0.80,104.40,"1,137",-106,"1,195",
,1,-,-,-,"4,845.55",-,100,"5,322.45","5,364.60",400,"12,500.00",50,0.95,1.05,250,-0.90,1.05,96.77,"1,368",17,326,
,"7,188",-102,124,-,"4,872.55",35.60,150,"4,843.45","4,850.40",100,"13,000.00","2,750",0.95,1.00,300,-1.00,0.95,86.14,"6,191","3,012","12,335",
,"1,121",-50,63,-,"4,365.00",29.85,100,"4,345.60","4,362.95",400,"13,500.00","6,850",0.80,1.00,"1,900",-0.95,0.80,75.50,"1,104",180,"2,894",
,"9,971",-459,596,-,"3,847.00",16.70,50,"3,840.90","3,849.90",100,"14,000.00","2,700",0.90,1.00,"7,300",-1.00,0.90,67.19,"5,346",991,"13,755",
,3,-,-,-,"2,466.60",-,50,"3,635.05","3,769.35",50,"14,150.00","2,450",0.90,1.15,50,-1.20,0.90,64.50,"2,855",253,337,
,176,-8,8,-,"3,647.70",8.10,100,"3,626.30","3,672.70",200,"14,200.00",800,0.95,1.10,"2,150",-1.15,0.95,63.94,"4,009",135,917,
,-,-,-,-,"2,660.00",-,50,"3,535.50","3,668.30",50,"14,250.00","2,100",0.65,1.70,50,-,-,-,-,-,-,
,30,-,1,107.43,"3,625.00",400.00,"1,000","3,484.60","3,616.75",50,"14,300.00","4,250",1.10,1.45,"2,600",-1.30,1.10,63.05,"3,413",123,390,
,-,-,-,-,-,-,50,"3,438.00","3,567.35",100,"14,350.00",50,1.05,1.95,50,-248.40,1.75,65.16,"2,664",10,10,
,39,-,-,-,"3,370.00",-,200,"3,409.50","3,517.00",250,"14,400.00","2,250",0.95,1.50,150,-1.45,0.95,60.38,119,-8,158,
,-,-,-,-,-,-,100,"3,343.55","3,465.25",50,"14,450.00","4,800",0.75,-,-,-,-,-,-,-,-,
,"6,472","-1,715","1,757",-,"3,355.00",32.10,50,"3,345.75","3,354.70",200,"14,500.00",750,1.15,1.20,900,-0.85,1.15,59.73,"10,538","-1,864","28,392",
,-,-,-,-,-,-,100,"3,244.65","3,365.75",50,"14,550.00","4,800",0.75,-,-,-,-,-,-,-,-,
,166,-1,4,-,"3,264.15",300.90,50,"3,230.80","3,258.95",50,"14,600.00","1,350",1.30,1.50,200,-1.00,1.30,58.66,538,-8,"2,361",
,103,-,73,65.20,"3,231.10",310.50,50,"3,164.65","3,269.90",50,"14,650.00",50,1.00,2.90,"1,000",-1.90,1.00,56.27,"1,398",-2,97,
,237,-,-,-,"2,997.85",-,50,"3,132.50","3,176.20",50,"14,700.00",50,1.20,1.60,50,-1.50,1.20,56.40,29,-7,765,
,-,-,-,-,-,-,100,"3,045.75","3,175.55",50,"14,750.00",50,1.15,3.85,"2,400",-,2.50,-,-,-,2,
,354,-2,2,67.83,"3,084.90",208.10,550,"3,031.25","3,064.15",50,"14,800.00",550,1.35,1.70,50,-0.85,1.50,55.90,377,50,"2,338",
,1,-,-,-,"2,350.00",-,100,"2,949.95","3,076.95",50,"14,850.00",50,1.15,-,-,-0.80,1.85,56.26,93,-30,19,
,402,-221,280,65.64,"2,985.00",284.95,50,"2,936.60","2,952.10",250,"14,900.00",900,1.40,1.55,"2,450",-0.20,1.55,54.29,"5,571",13,"1,134",
,-,-,-,-,-,-,100,"2,851.55","2,980.35",50,"14,950.00","2,250",1.15,1.95,"4,500",-6.35,1.15,51.75,"6,005",17,18,
,"6,015",-474,816,-,"2,850.00",6.75,350,"2,846.70","2,859.30",800,"15,000.00","6,150",1.45,1.55,50,-0.75,1.60,52.67,"22,217",-378,"28,929",
,2,-,1,66.30,"2,838.85",473.40,50,"2,771.20","2,825.00",50,"15,050.00",50,1.70,2.00,150,-0.35,2.00,53.05,255,-16,107,
,130,-,-,-,"2,597.55",-,100,"2,738.90","2,796.45",50,"15,100.00",200,1.90,1.95,500,-0.10,1.95,51.99,"1,778",-12,"2,683",
,-,-,-,-,"2,298.30",-,100,"2,648.40","2,724.25",50,"15,150.00","2,400",1.30,1.80,50,-1.55,1.45,49.45,"11,456",-13,25,
,360,-4,41,61.70,"2,687.70",117.70,100,"2,636.95","2,667.00",100,"15,200.00","2,800",1.35,1.90,200,-0.30,2.00,50.31,"1,411",-13,"3,390",
,3,-1,3,66.41,"2,645.00",268.45,50,"2,579.45","2,668.20",50,"15,250.00",400,1.60,2.40,550,-0.25,2.40,50.45,"2,332",-10,"1,189",
,176,-2,4,-,"2,539.00",-8.55,150,"2,537.45","2,554.35",200,"15,300.00","2,700",1.60,1.95,50,-0.60,1.95,48.35,"2,778",50,"3,922",
,2,-,-,-,"1,281.45",-,50,"2,458.10","2,566.40",50,"15,350.00",350,1.80,-,-,-0.70,1.80,47.02,201,14,56,
,375,-,20,-,"2,451.90",77.75,200,"2,446.05","2,458.00",50,"15,400.00",850,1.80,2.45,"1,050",-0.80,1.80,46.12,"3,239",-228,"3,130",
,3,-,-,-,"2,096.35",-,100,"2,359.40","2,434.75",50,"15,450.00",50,1.85,2.00,200,-0.20,2.00,45.77,521,136,499,
,"3,670",-454,660,-,"2,353.40",16.60,50,"2,347.30","2,359.45",400,"15,500.00","7,050",1.85,1.95,"3,500",-0.80,1.85,44.46,"19,387","1,492","23,525",
,17,-,1,199.75,"3,110.10","1,003.50","1,000","2,259.60","2,368.35","1,000","15,550.00",50,1.55,2.15,"1,300",-1.10,2.15,44.33,360,-54,229,
,609,-10,16,-,"2,258.00",123.00,50,"2,239.75","2,257.35",50,"15,600.00","2,800",2.20,2.25,500,-0.65,2.15,43.42,"9,563",-72,"3,006",
,30,-,-,-,"2,143.95",-,50,"2,162.75","2,247.10",100,"15,650.00","2,700",1.75,5.00,50,-0.70,2.10,42.40,91,-,234,
,890,-13,24,-,"2,156.00",20.70,50,"2,143.15","2,159.85",250,"15,700.00",300,1.85,2.15,50,-1.10,1.85,40.88,"4,036",-168,"3,068",
,100,-,-,-,"2,051.85",-,50,"2,060.05","2,172.75",50,"15,750.00",500,1.80,2.65,"2,600",-0.25,2.65,41.75,258,-8,422,
,"1,912",-31,74,-,"2,050.00",7.50,50,"2,048.10","2,057.90",50,"15,800.00","1,500",1.85,2.40,750,-1.05,1.85,39.10,"7,922",-187,"8,140",
,260,-,8,-,"2,005.50",35.50,50,"1,937.40","2,034.35",50,"15,850.00",50,2.10,3.40,450,0.40,3.40,41.19,249,16,603,
,"3,026",-7,51,-,"1,950.00",10.80,50,"1,948.50","1,972.10",50,"15,900.00","1,300",2.10,2.70,900,-0.45,2.40,38.51,"10,339","-1,200","8,740",
,206,-,1,52.41,"1,950.00",37.00,50,"1,869.00","1,934.05",50,"15,950.00","1,600",1.50,2.35,"2,000",-1.05,2.00,36.77,743,-52,"1,236",
,"10,673",-112,769,-,"1,850.00",11.25,50,"1,847.60","1,856.90",350,"16,000.00",800,2.35,2.45,650,-0.85,2.35,36.59,"68,836","2,161","51,589",
,117,-,5,-,"1,823.95",45.95,150,"1,795.00","1,813.05",50,"16,050.00","2,000",2.00,2.40,150,-1.15,2.25,35.49,953,-316,259,
,"1,343",-38,105,-,"1,761.45",17.85,50,"1,749.45","1,756.75",300,"16,100.00","1,750",2.55,2.60,50,-1.00,2.55,35.14,"13,401",-604,"6,936",
,62,-,-,-,"1,667.95",-,50,"1,640.80","1,739.25",50,"16,150.00",200,2.40,3.45,"2,000",-1.25,2.40,33.96,"1,189",-736,320,
,"2,672",-8,57,-,"1,654.40",16.00,"2,150","1,645.30","1,659.75",50,"16,200.00","1,250",2.75,2.80,450,-1.05,2.75,33.63,"29,005",-515,"15,868",
,210,-3,9,52.54,"1,670.00",82.30,500,"1,592.05","1,604.45",500,"16,250.00",500,2.25,3.00,300,-1.10,2.80,32.79,"1,917",-125,"1,156",
,"5,368",-79,276,-,"1,550.00",10.70,"1,000","1,549.75","1,556.85",100,"16,300.00",300,2.70,3.50,100,-0.80,3.50,32.84,"38,094","1,903","17,475",
,328,-1,19,-,"1,510.00",31.80,300,"1,494.45","1,509.60",900,"16,350.00","1,800",2.60,4.30,900,-1.90,2.75,30.87,"1,279",-104,889,
,"7,509",-84,252,-,"1,450.90",16.65,50,"1,450.90","1,458.20",100,"16,400.00","1,850",2.40,3.30,50,-1.90,3.20,30.57,"41,366",-834,"15,050",
,366,-,4,38.95,"1,446.95",49.95,500,"1,393.50","1,455.95",50,"16,450.00",50,2.70,3.00,"1,000",-2.30,3.00,29.37,"5,060",-657,"2,027",
,"22,673",-513,"4,124",-,"1,352.00",12.15,100,"1,350.10","1,358.20",100,"16,500.00",250,3.45,3.70,"2,050",-2.35,3.45,29.00,"1,66,245",799,"76,258",
,529,-5,6,-,"1,307.30",13.15,200,"1,297.35","1,304.95",200,"16,550.00",500,3.15,3.80,50,-2.45,3.90,28.56,"13,295","-2,043","5,041",
,"13,150",-513,"1,099",-,"1,253.45",15.15,50,"1,253.00","1,257.75",50,"16,600.00",350,3.75,3.90,"1,050",-2.65,3.85,27.55,"93,234","6,303","33,172",
,444,-29,58,-,"1,177.90",-15.30,50,"1,198.25","1,206.20",50,"16,650.00",500,4.15,4.55,50,-2.40,4.50,27.22,"6,518",-11,"3,228",
,"17,022",-26,649,-,"1,154.20",13.20,50,"1,146.85","1,159.25",100,"16,700.00",500,4.55,4.60,700,-2.55,4.55,26.28,"81,539","5,789","37,109",
,380,-8,93,-,"1,100.80",13.35,100,"1,101.55","1,114.15",50,"16,750.00",50,4.75,5.30,900,-2.70,4.90,25.60,"7,392",655,"3,511",
,"4,731",-225,742,-,"1,056.00",12.15,50,"1,051.05","1,059.45",100,"16,800.00","2,600",5.10,5.45,"1,200",-2.75,5.50,25.07,"1,50,107","22,115","52,418",
,470,-24,110,-,"1,008.10",10.65,50,"1,001.10","1,008.85",400,"16,850.00",900,5.35,6.50,50,-2.90,5.95,24.38,"10,283","-1,197","2,461",
,"3,098",-120,317,-,952.05,6.20,100,952.55,963.55,100,"16,900.00","1,750",6.10,6.50,300,-3.55,6.10,23.46,"93,589","4,664","27,744",
,262,-25,45,-,904.75,3.00,50,901.70,909.45,100,"16,950.00",500,6.20,6.65,50,-4.25,6.25,22.53,"17,705","-1,222","3,606",
,"14,713",375,"5,964",-,855.20,7.95,100,855.85,860.20,200,"17,000.00","1,700",7.30,7.50,"1,350",-4.05,7.35,22.13,"1,99,092","12,503","96,395",
,471,-53,112,-,814.25,22.20,100,801.35,811.30,100,"17,050.00",250,7.55,8.00,50,-4.60,7.55,21.18,"19,053",242,"3,507",
,"5,475",-264,985,-,755.05,7.15,50,754.25,761.15,100,"17,100.00",50,8.25,8.50,50,-4.70,8.40,20.53,"1,00,349","3,682","24,220",
,549,-15,125,-,716.85,20.90,100,704.25,711.70,100,"17,150.00",500,8.45,9.00,800,-5.50,9.00,19.71,"23,207","1,869","4,979",
,"11,429","1,650","10,667",-,662.25,14.10,550,658.10,664.40,100,"17,200.00",150,9.90,10.00,200,-6.15,10.00,19.01,"1,78,808","7,845","45,377",
,669,-70,254,-,607.05,9.25,50,597.50,659.40,50,"17,250.00",100,11.00,11.55,50,-7.05,11.35,18.38,"35,865",451,"5,243",
,"11,780","-1,613","4,870",-,570.10,16.00,100,560.85,565.80,100,"17,300.00",100,13.05,13.80,50,-6.60,13.80,18.02,"1,72,652","6,171","48,890",
,777,-62,389,-,515.25,10.80,100,510.70,523.20,100,"17,350.00",100,15.00,15.40,50,-7.90,15.50,17.30,"44,547","3,422","8,507",
,"11,992","-1,900","8,967",-,468.35,7.10,"2,100",464.30,470.45,50,"17,400.00",700,17.90,18.45,350,-9.10,18.20,16.75,"2,15,879","1,781","41,979",
,"1,546",-108,986,-,418.30,2.95,100,418.30,422.80,100,"17,450.00",50,20.90,21.30,50,-10.25,21.00,16.10,"72,721",465,"7,371",
,"25,967","-4,280","41,413",-,371.90,0.75,100,371.90,375.00,"1,200","17,500.00",300,25.05,26.00,550,-13.50,25.05,15.58,"4,45,630","8,962","74,912",
,"2,425",-377,"2,299",-,326.85,-1.65,"1,800",322.40,331.00,200,"17,550.00",200,30.60,32.40,200,-12.95,32.50,15.50,"1,34,226","-2,207","12,381",
,"13,032","-5,394","49,788",7.80,286.30,-1.40,100,286.05,289.25,50,"17,600.00",300,38.75,39.00,50,-17.10,38.75,14.97,"4,91,622",-738,"58,989",
,"3,655","-1,436","16,009",9.36,247.05,-3.75,200,246.65,248.00,50,"17,650.00",50,49.50,49.90,50,-18.70,49.50,14.88,"1,65,978","2,601","13,221",
,"20,414","-10,917","1,63,585",9.90,209.00,-5.55,100,207.95,210.00,50,"17,700.00",300,60.50,61.00,50,-20.65,62.00,14.73,"7,05,328","16,387","74,113",
,"8,993","-4,968","82,163",10.51,176.00,-7.45,750,176.00,177.00,150,"17,750.00",50,68.15,77.60,400,-32.25,68.15,13.54,"2,50,242","1,698","13,987",
,"40,633","-9,674","4,92,300",10.79,145.00,-8.70,100,144.60,146.00,"2,700","17,800.00",100,95.00,97.00,450,-23.50,97.00,14.73,"10,41,543","15,153","71,767",
,"23,584","3,321","3,50,807",10.97,117.20,-10.05,50,117.20,118.00,850,"17,850.00",150,118.00,119.75,350,-24.60,118.00,14.65,"4,67,798","15,847","24,594",
,"68,932","36,206","11,79,524",11.32,94.95,-9.90,450,94.95,96.00,"4,550","17,900.00","3,000",145.00,146.40,200,-24.70,146.40,15.05,"9,90,521","32,685","38,133",
,"27,482","17,717","4,61,428",11.56,75.45,-9.75,150,75.30,76.20,50,"17,950.00","1,000",174.05,178.00,"1,000",-26.90,174.05,15.06,"1,56,557","3,619","4,501",
,"1,06,820","36,434","12,43,194",11.75,59.05,-9.30,"2,050",59.05,60.00,250,"18,000.00",350,210.05,212.00,"1,550",-25.65,211.15,15.83,"2,94,719","4,515","39,585",
,"18,519","11,281","2,45,225",11.85,45.00,-8.40,500,45.00,47.00,400,"18,050.00",200,243.45,249.95,100,-13.15,260.00,17.76,"16,452",809,"1,000",
,"53,726","22,120","5,73,810",12.14,35.00,-6.60,350,34.05,35.00,"6,100","18,100.00",100,282.50,287.00,50,-37.00,283.80,16.45,"42,655",876,"14,880",
,"12,753","7,779","1,87,530",12.15,25.50,-6.80,50,25.50,26.50,350,"18,150.00",650,317.55,332.40,100,-21.55,325.70,17.12,"3,405",144,222,
,"55,710","16,767","5,14,600",12.52,20.00,-4.30,350,19.05,20.00,"1,850","18,200.00",350,367.70,372.85,100,-18.70,369.15,17.84,"17,621","1,342","1,878",
,"15,763","7,663","1,35,728",12.44,13.80,-4.90,650,14.00,14.90,"2,800","18,250.00",50,408.75,429.90,100,-13.25,416.00,18.93,174,-7,33,
,"46,632","17,955","3,40,394",12.81,10.75,-3.20,250,10.75,10.95,"2,800","18,300.00",100,458.35,463.85,100,-18.45,461.00,19.63,"3,319",356,498,
,"18,692","11,094","94,273",12.91,7.65,-2.75,300,7.55,7.65,"2,400","18,350.00",50,493.00,516.95,100,-53.70,482.05,15.24,37,-6,31,
,"47,040","20,113","2,34,116",13.37,6.20,-2.00,"1,450",5.85,6.20,"1,900","18,400.00",100,553.25,560.50,100,-14.95,556.60,21.70,"1,080",89,148,
,"10,330","3,431","76,151",13.80,5.00,-1.20,"1,400",5.00,5.05,150,"18,450.00",250,599.80,609.35,100,-13.95,603.75,22.52,15,4,25,
,"1,12,253","41,026","4,48,408",14.43,4.40,-1.00,50,4.35,4.40,"1,050","18,500.00",50,650.65,655.30,50,-17.20,654.85,24.07,"6,207","3,515","5,709",
,"9,338","7,523","45,635",14.50,3.10,-1.25,100,3.10,4.35,"2,000","18,550.00",100,700.20,716.50,100,-101.35,643.65,-,2,-,2,
,"25,535","13,017","1,49,983",15.39,3.10,-0.60,100,2.85,3.10,250,"18,600.00",100,740.45,755.85,50,-25.40,742.50,23.89,35,13,84,
,"3,945",946,"15,609",16.05,2.85,-0.40,500,2.75,3.10,"2,150","18,650.00",50,768.35,806.05,100,0.40,817.15,30.41,7,-,143,
,"38,861","21,264","1,42,531",16.54,2.45,-0.10,"2,600",2.40,2.45,50,"18,700.00",300,847.00,856.50,100,-25.50,851.35,28.41,9,-2,9,
,"2,368","1,443","10,578",17.38,2.45,0.10,50,2.05,2.45,"1,800","18,750.00",50,888.10,912.90,100,-27.15,892.85,27.53,5,-,3,
,"24,435","15,214","1,02,995",17.51,1.85,-0.15,200,1.85,2.00,"3,800","18,800.00",250,946.85,954.40,50,-18.85,946.25,29.58,103,-26,371,
,"1,729",296,"3,499",18.68,2.15,0.05,50,2.05,2.20,"2,500","18,850.00",50,985.40,"1,009.70",100,-239.40,985.20,27.56,11,2,6,
,"13,335","4,949","47,319",19.03,1.80,-0.05,"4,250",1.75,1.80,"13,300","18,900.00",500,"1,047.45","1,060.90",100,-23.10,"1,040.00",30.14,31,-1,164,
,"1,325",971,"6,737",19.35,1.50,-0.35,100,1.65,1.90,"1,950","18,950.00",100,"1,095.65","1,109.15",100,-,-,-,-,-,-,
,"52,896","22,005","1,43,576",20.44,1.70,-0.10,100,1.65,1.70,"9,100","19,000.00",100,"1,138.65","1,152.00",50,-12.65,"1,150.35",35.27,599,-135,767,
,314,176,"9,201",19.89,1.00,-0.85,"1,200",1.05,1.85,150,"19,050.00",50,"1,139.65","1,217.90",50,-,-,-,-,-,-,
,"12,431","3,939","16,707",21.45,1.40,-0.20,100,1.40,1.55,150,"19,100.00",100,"1,250.05","1,259.50",200,-5.15,"1,250.00",37.45,99,-29,38,
,"3,712",285,"6,355",22.47,1.55,-,450,1.35,1.55,950,"19,150.00",50,"1,279.10","1,317.20",50,-,-,-,-,-,-,
,"4,937","4,937","17,439",22.04,1.00,-1.15,"3,650",1.00,1.15,"2,650","19,200.00",100,"1,340.90","1,365.60",100,-24.00,"1,341.80",37.24,14,4,4,
,515,515,"6,234",22.35,0.85,-0.85,"7,400",0.85,1.00,"7,150","19,250.00",50,"1,353.80","1,449.10",50,-,-,-,-,-,-,
,"10,084","10,084","26,785",23.19,0.90,-0.45,"8,500",0.90,0.95,"2,900","19,300.00",150,"1,442.65","1,460.90",50,-14.90,"1,450.00",41.88,17,12,12,
